name,score,event,year,last_name,first_name,full_name
Joanne CARTER,163.38,WR,2005,CARTER,Joanne,"Joanne, CARTER"
Jennifer KIRK,156.81,WR,2005,KIRK,Jennifer,"Jennifer, KIRK"
Viktoria PAVUK,148.46,WR,2005,PAVUK,Viktoria,"Viktoria, PAVUK"
Lina JOHANSSON,145.94,WR,2005,JOHANSSON,Lina,"Lina, JOHANSSON"
Cynthia PHANEUF,143.44,WR,2005,PHANEUF,Cynthia,"Cynthia, PHANEUF"
Yan LIU,142.33,WR,2005,LIU,Yan,"Yan, LIU"
Jenna McCORKELL,142.0,WR,2005,MCCORKELL,Jenna,"Jenna, MCCORKELL"
Candice DIDIER,129.68,WR,2005,DIDIER,Candice,"Candice, DIDIER"
Karen VENHUIZEN,125.58,WR,2005,VENHUIZEN,Karen,"Karen, VENHUIZEN"
Elena SOKOLOVA,163.02,US,2006,SOKOLOVA,Elena,"Elena, SOKOLOVA"
Alissa CZISNY,159.3,US,2006,CZISNY,Alissa,"Alissa, CZISNY"
Yoshie ONDA,150.98,US,2006,ONDA,Yoshie,"Yoshie, ONDA"
Beatrisa LIANG,133.0,US,2006,LIANG,Beatrisa,"Beatrisa, LIANG"
Emily HUGHES,126.78,US,2006,HUGHES,Emily,"Emily, HUGHES"
Mira LEUNG,125.82,US,2006,LEUNG,Mira,"Mira, LEUNG"
Constanze PAULINUS,122.06,US,2006,PAULINUS,Constanze,"Constanze, PAULINUS"
Julia SEBESTYEN,121.78,US,2006,SEBESTYEN,Julia,"Julia, SEBESTYEN"
Dan FANG,112.26,US,2006,FANG,Dan,"Dan, FANG"
Idora HEGEL,106.42,US,2006,HEGEL,Idora,"Idora, HEGEL"
Alissa CZISNY,168.32,CA,2006,CZISNY,Alissa,"Alissa, CZISNY"
Joannie ROCHETTE,158.3,CA,2006,ROCHETTE,Joannie,"Joannie, ROCHETTE"
Yukari NAKANO,149.54,CA,2006,NAKANO,Yukari,"Yukari, NAKANO"
Yan LIU,142.58,CA,2006,LIU,Yan,"Yan, LIU"
Sarah MEIER,141.78,CA,2006,MEIER,Sarah,"Sarah, MEIER"
Mira LEUNG,134.3,CA,2006,LEUNG,Mira,"Mira, LEUNG"
Carolina KOSTNER,132.64,CA,2006,KOSTNER,Carolina,"Carolina, KOSTNER"
Fumie SUGURI,132.0,CA,2006,SUGURI,Fumie,"Fumie, SUGURI"
Lesley HAWKER,127.8,CA,2006,HAWKER,Lesley,"Lesley, HAWKER"
Joanne CARTER,116.7,CA,2006,CARTER,Joanne,"Joanne, CARTER"
Mao ASADA,182.42,FR,2006,ASADA,Mao,"Mao, ASADA"
Sasha COHEN,175.12,FR,2006,COHEN,Sasha,"Sasha, COHEN"
Shizuka ARAKAWA,173.3,FR,2006,ARAKAWA,Shizuka,"Shizuka, ARAKAWA"
Joannie ROCHETTE,167.22,FR,2006,ROCHETTE,Joannie,"Joannie, ROCHETTE"
Kimmie MEISSNER,155.72,FR,2006,MEISSNER,Kimmie,"Kimmie, MEISSNER"
Elena SOKOLOVA,152.52,FR,2006,SOKOLOVA,Elena,"Elena, SOKOLOVA"
Annette DYTRT,131.88,FR,2006,DYTRT,Annette,"Annette, DYTRT"
Galina EFREMENKO,107.98,FR,2006,EFREMENKO,Galina,"Galina, EFREMENKO"
Anne Sophie CALVEZ,102.9,FR,2006,CALVEZ,Anne Sophie,"Anne Sophie, CALVEZ"
Fleur MAXWELL,102.44,FR,2006,MAXWELL,Fleur,"Fleur, MAXWELL"
Nadege BOBILLIER,101.96,FR,2006,BOBILLIER,Nadege,"Nadege, BOBILLIER"
Irina SLUTSKAYA,198.06,RU,2006,SLUTSKAYA,Irina,"Irina, SLUTSKAYA"
Miki ANDO,172.3,RU,2006,ANDO,Miki,"Miki, ANDO"
Yoshie ONDA,142.4,RU,2006,ONDA,Yoshie,"Yoshie, ONDA"
