name,year,event,score
BUTTLE Jeffrey,2006,FN,214.34
TAKAHASHI Daisuke,2006,FN,212.52
ODA Nobunari,2006,FN,197.05
SANDHU Emanuel,2006,FN,189.46
PLUSHENKO Evgeni,2006,EU,245.33
LAMBIEL Stephane,2006,EU,228.87
JOUBERT Brian,2006,EU,222.95
DAMBIER Frederic,2006,EU,200.16
KLIMKIN Ilia,2006,EU,197.42
PREAUBERT Alban,2006,EU,190.18
VAN DER PERREN Kevin,2006,EU,182.32
SMALUN Silvio,2006,EU,181.73
CHIPER Gheorghe,2006,EU,181.51
VERNER Tomas,2006,EU,178.26
DINEV Ivan,2006,EU,177.18
LINDEMANN Stefan,2006,EU,176.7
DAVYDOV Sergei,2006,EU,170.51
BERNTSSON Kristoffer,2006,EU,167.37
DOBRIN Sergei,2006,EU,165.63
KOVALEVSKI Anton,2006,EU,164.49
URBAS Gregor,2006,EU,162.95
PFEIFER Viktor,2006,EU,159.27
ZELENKA Karel,2006,EU,158.96
SCHULTHEISS Adrian,2006,EU,149.1
OTHMAN Jamal,2006,EU,148.85
SEROV Roman,2006,EU,148.1
NURMENKARI Ari-Pekka,2006,EU,137.11
REKLYS Aidas,2006,EU,128.51
ODA Nobunari,2006,4C,201.69
MABEE Christopher,2006,4C,198.69
SAVOIE Matthew,2006,4C,190.15
CRAIG Marc Andre,2006,4C,186.12
SMITH Scott,2006,4C,185.25
NAKANIWA Kensuke,2006,4C,177.19
NANRI Yasuharu,2006,4C,172.82
MA Xiaodong,2006,4C,172.11
WEISS Michael,2006,4C,171.22
WU Jialiang,2006,4C,164.64
YOUNG Nicholas,2006,4C,162.3
CARLOW Sean,2006,4C,136.68
SONG Lun,2006,4C,127.69
NOVALES Michael,2006,4C,118.94
SANTER Bradley,2006,4C,112.62
PIETERSEN Justin,2006,4C,105.38
HERNANDEZ Luis,2006,4C,102.28
THODE Tristan,2006,4C,101.91
CONTRERAS Humberto,2006,4C,98.81
MOYRON Miguel Angel,2006,4C,96.4
WATSON Joel,2006,4C,91.64
MCNAMARA Robert,2006,4C,91.61
ECHARDT Gareth,2006,4C,87.83
GIERING Konrad,2006,4C,72.39
PLUSHENKO Evgeni,2006,OL,258.33
LAMBIEL Stephane,2006,OL,231.21
BUTTLE Jeffrey,2006,OL,227.59
LYSACEK Evan,2006,OL,220.13
WEIR Johnny,2006,OL,216.63
JOUBERT Brian,2006,OL,212.89
SAVOIE Matthew,2006,OL,206.67
TAKAHASHI Daisuke,2006,OL,204.89
VAN DER PERREN Kevin,2006,OL,197.39
ZHANG Min,2006,OL,196.27
KLIMKIN Ilia,2006,OL,191.8
SAWYER Shawn,2006,OL,190.83
SANDHU Emanuel,2006,OL,190.24
CHIPER Gheorghe,2006,OL,186.19
DAVYDOV Sergei,2006,OL,184.59
LI Chengjiang,2006,OL,182.21
DINEV Ivan,2006,OL,180.11
VERNER Tomas,2006,OL,180.07
DAMBIER Frederic,2006,OL,177.59
KOVALEVSKI Anton,2006,OL,172.84
LINDEMANN Stefan,2006,OL,172.57
PFEIFER Viktor,2006,OL,163.87
BERNTSSON Kristoffer,2006,OL,161.95
TOTH Zoltan,2006,OL,145.47
LAMBIEL Stephane,2006,WR,274.22
JOUBERT Brian,2006,WR,270.83
LYSACEK Evan,2006,WR,255.22
ODA Nobunari,2006,WR,251.21
SANDHU Emanuel,2006,WR,249.89
BUTTLE Jeffrey,2006,WR,241.59
WEIR Johnny,2006,WR,235.57
PREAUBERT Alban,2006,WR,230.95
LI Chengjiang,2006,WR,229.03
KLIMKIN Ilia,2006,WR,227.78
SAVOIE Matthew,2006,WR,227.41
DAVYDOV Sergei,2006,WR,222.44
VERNER Tomas,2006,WR,221.83
CHIPER Gheorghe,2006,WR,219.34
ZHANG Min,2006,WR,216.59
KOVALEVSKI Anton,2006,WR,211.93
GRIAZEV Andrei,2006,WR,208.37
SEROV Roman,2006,WR,207.14
DINEV Ivan,2006,WR,206.86
SMALUN Silvio,2006,WR,206.58
SAWYER Shawn,2006,WR,201.05
URBAS Gregor,2006,WR,198.54
BERNTSSON Kristoffer,2006,WR,192.47
ZIVANOVIC Trifun,2006,WR,183.05
ODA Nobunari,2007,US,231.39
LYSACEK Evan,2007,US,221.09
PREAUBERT Alban,2007,US,212.67
VAN DER PERREN Kevin,2007,US,178.52
DAVYDOV Sergei,2007,US,175.72
SMITH Scott,2007,US,173.08
VORONOV Sergei,2007,US,173.03
BRADLEY Ryan,2007,US,172.29
MABEE Christopher,2007,US,163.16
ZELENKA Karel,2007,US,161.95
NANRI Yasuharu,2007,US,150.36
LAMBIEL Stephane,2007,CA,210.7
TAKAHASHI Daisuke,2007,CA,208.21
WEIR Johnny,2007,CA,198.7
SAWYER Shawn,2007,CA,195.17
VERNER Tomas,2007,CA,192.15
PONSERO Yannick,2007,CA,189.46
CHIPEUR Vaughn,2007,CA,184.06
CRAIG Marc Andre,2007,CA,168.32
OTHMAN Jamal,2007,CA,167.22
VORONOV Sergei,2007,CA,165.73
VARNER Geoffry,2007,CA,148.57
JOUBERT Brian,2007,FR,231.08
PREAUBERT Alban,2007,FR,211.72
DOBRIN Sergei,2007,FR,193.5
KLIMKIN Ilia,2007,FR,187.16
CHAN Patrick,2007,FR,179.92
KOZUKA Takahiko,2007,FR,177.85
GRIAZEV Andrei,2007,FR,177.67
SAWYER Shawn,2007,FR,177.51
NANRI Yasuharu,2007,FR,173.51
COLOT Jeremie,2007,FR,166.34
OTHMAN Jamal,2007,FR,159.02
JOUBERT Brian,2007,RU,237.83
WEIR Johnny,2007,RU,196.28
KLIMKIN Ilia,2007,RU,187.45
VERNER Tomas,2007,RU,186.5
SANDHU Emanuel,2007,RU,185.45
BERNTSSON Kristoffer,2007,RU,184.7
GRIAZEV Andrei,2007,RU,184.02
DOBRIN Sergei,2007,RU,182.39
KOVALEVSKI Anton,2007,RU,162.98
MABEE Christopher,2007,RU,161.16
URBAS Gregor,2007,RU,159.22
SHIBATA Ryo,2007,RU,158.43
LYSACEK Evan,2007,CN,220.04
DAVYDOV Sergei,2007,CN,199.11
SANDHU Emanuel,2007,CN,193.39
SMITH Scott,2007,CN,192.38
NAKANIWA Kensuke,2007,CN,182.74
USPENSKI Alexander,2007,CN,178.59
PONSERO Yannick,2007,CN,177.09
WU Jialiang,2007,CN,175.52
