name,score,event,year
Jenna McCORKELL,97.95,JP,2007
Yu-Na KIM,184.2,FN,2007
Mao ASADA,172.52,FN,2007
Sarah MEIER,170.28,FN,2007
Fumie SUGURI,158.78,FN,2007
Miki ANDO,157.32,FN,2007
Julia SEBESTYEN,142.69,FN,2007
Carolina KOSTNER,174.79,EU,2007
Sarah MEIER,171.28,EU,2007
Kiira KORPI,151.19,EU,2007
Susanna POYKIO,146.02,EU,2007
Valentina MARCHEI,144.28,EU,2007
Alisa DREI,141.9,EU,2007
Elena SOKOLOVA,139.71,EU,2007
Elene GEDEVANISHVILI,137.32,EU,2007
Julia SEBESTYEN,136.05,EU,2007
Tugba KARADEMIR,131.0,EU,2007
Alexandra IEVLEVA,126.99,EU,2007
Elena GLEBOVA,126.8,EU,2007
Tamar KATZ,126.09,EU,2007
Lina JOHANSSON,120.64,EU,2007
Jenna McCORKELL,120.47,EU,2007
Idora HEGEL,119.96,EU,2007
Anne Sophie CALVEZ,116.96,EU,2007
Viktoria PAVUK,110.98,EU,2007
Kristin WIECZOREK,110.2,EU,2007
Christiane BERGER,109.17,EU,2007
Roxana LUCA,108.34,EU,2007
Anna JURKIEWICZ,107.31,EU,2007
Radka BARTOVA,105.12,EU,2007
Irina MOVCHAN,102.94,EU,2007
Kimmie MEISSNER,172.75,4C,2007
Emily HUGHES,166.6,4C,2007
Joannie ROCHETTE,165.9,4C,2007
Aki SAWADA,156.88,4C,2007
Alissa CZISNY,154.03,4C,2007
Yoshie ONDA,152.61,4C,2007
Lesley HAWKER,138.23,4C,2007
Binshu XU,133.09,4C,2007
Yan LIU,126.69,4C,2007
Dan FANG,125.2,4C,2007
Yea-Ji SHIN,123.44,4C,2007
Anastasia GIMAZETDINOVA,123.39,4C,2007
Na-Young KIM,122.28,4C,2007
Chae-Hwa KIM,121.11,4C,2007
Cynthia PHANEUF,120.01,4C,2007
Joanne CARTER,108.4,4C,2007
Ana Cecilia CANTU,100.64,4C,2007
Emily NAPHTAL,96.26,4C,2007
Jocelyn HO,95.56,4C,2007
Ami PAREKH,94.56,4C,2007
Phoebe DI TOMMASO,92.92,4C,2007
Michele CANTU,90.63,4C,2007
Abigail PIETERSEN,74.3,4C,2007
Miki ANDO,195.09,WR,2007
Mao ASADA,194.45,WR,2007
Yu-Na KIM,186.14,WR,2007
Kimmie MEISSNER,180.23,WR,2007
Yukari NAKANO,168.92,WR,2007
Carolina KOSTNER,168.92,WR,2007
Sarah MEIER,160.8,WR,2007
Susanna POYKIO,160.12,WR,2007
Emily HUGHES,159.06,WR,2007
Joannie ROCHETTE,158.98,WR,2007
Valentina MARCHEI,153.6,WR,2007
Julia SEBESTYEN,153.5,WR,2007
Elena SOKOLOVA,149.77,WR,2007
Kiira KORPI,149.47,WR,2007
Alissa CZISNY,147.74,WR,2007
Arina MARTINOVA,145.28,WR,2007
Elene GEDEVANISHVILI,144.4,WR,2007
Elena GLEBOVA,131.18,WR,2007
Anastasia GIMAZETDINOVA,130.44,WR,2007
Joanne CARTER,127.17,WR,2007
Idora HEGEL,125.66,WR,2007
Yan LIU,123.22,WR,2007
Tamar KATZ,122.51,WR,2007
Mira LEUNG,120.74,WR,2007
Kimmie MEISSNER,163.23,US,2008
Miki ANDO,161.89,US,2008
Caroline ZHANG,153.35,US,2008
Emily HUGHES,140.5,US,2008
Mira LEUNG,139.14,US,2008
Elene GEDEVANISHVILI,126.06,US,2008
Alexandra IEVLEVA,124.84,US,2008
Mai ASADA,120.49,US,2008
Tugba KARADEMIR,119.26,US,2008
Valentina MARCHEI,116.44,US,2008
Binshu XU,112.46,US,2008
Mao ASADA,177.66,CA,2008
Yukari NAKANO,169.43,CA,2008
Joannie ROCHETTE,168.18,CA,2008
Emily HUGHES,162.42,CA,2008
Ashley WAGNER,150.06,CA,2008
